Name;V1;V2;V3;V4;V5;Heating demand;Cooling demand;Front Nr
unnamed_10_1;7;0.73226137;0.1;0.11416698;0.11994551;360.43109;47.54772;1
unnamed_10_2;9;0.62265621;0.17309973;0.13739709;0.19346439;403.28508;0.20462311;1
unnamed_10_3;7;0.54913935;0.28026603;0.1;0.21947165;404.03298;0.088928172;1
unnamed_10_4;8;0.70724497;0.1;0.1;0.1;368.40379;17.110019;1
unnamed_10_5;8;0.69915432;0.11027125;0.11335229;0.1;370.59319;14.430391;1
unnamed_10_6;8;0.6106709;0.1;0.1;0.15559834;392.64775;0.50754866;1
unnamed_10_7;7;0.69322304;0.10426865;0.110187;0.14687039;366.41168;26.890457;1
unnamed_10_8;8;0.72472292;0.12641236;0.11371088;0.12986558;367.25983;24.59498;1
unnamed_10_9;8;0.73557047;0.10584074;0.11483174;0.1;364.4957;28.717417;1
unnamed_10_10;7;0.63725965;0.11361793;0.11273399;0.15165573;377.62657;7.4611709;1
unnamed_10_11;7;0.70978649;0.1;0.11579094;0.12479811;363.46141;34.762988;1
unnamed_10_12;7;0.71322414;0.1;0.11330756;0.12976152;363.03372;36.692549;1
unnamed_10_13;7;0.75889046;0.1;0.11119098;0.11263354;357.55845;65.067613;1
unnamed_10_14;7;0.74413942;0.12408273;0.11084527;0.13025259;359.81941;55.557223;1
unnamed_10_15;8;0.66831645;0.1;0.10418923;0.18125415;379.00579;7.423938;1
unnamed_10_16;8;0.66784149;0.15891329;0.10946646;0.1569324;379.09797;7.2711404;1
unnamed_10_17;8;0.64597348;0.12427171;0.11332676;0.13022346;383.06894;3.0194898;1
unnamed_10_18;8;0.56718975;0.15403976;0.1019145;0.16006744;406.04974;4.56E-08;1
unnamed_10_19;7;0.62448263;0.10509067;0.1;0.17656144;380.86515;5.1144932;1
unnamed_10_20;7;0.72378721;0.1;0.11455718;0.11203339;361.16009;42.365306;1
unnamed_10_21;7;0.59213337;0.1;0.11991971;0.12622891;388.9637;0.90224897;1
unnamed_10_22;8;0.6366718;0.11361026;0.11386292;0.17637925;386.82487;2.343687;1
unnamed_10_23;8;0.7108315;0.10906098;0.1;0.1;367.88001;18.467675;1
unnamed_10_24;7;0.52295133;0.2531138;0.1;0.20332374;411.51753;1.17E-11;1
unnamed_10_25;9;0.56793813;0.19240508;0.1;0.24660451;419.29754;1.19E-11;2
unnamed_10_26;7;0.85583308;0.1621159;0.10835814;0.15151611;358.59994;152.49903;2
unnamed_10_27;7;0.7867742;0.1;0.11159827;0.18048516;358.73022;88.043335;2
unnamed_10_28;6;0.55792135;0.24157702;0.1;0.16531158;391.79021;1.0942099;2
unnamed_10_29;9;0.6142028;0.17015061;0.1;0.191299;404.12382;0.09297371;2
unnamed_10_30;7;0.75474817;0.16757217;0.11330479;0.15076854;360.8191;63.744087;2
unnamed_10_31;7;0.77339329;0.18538979;0.11328461;0.15207176;360.35362;77.80502;2
unnamed_10_32;7;0.66522546;0.15010194;0.11336019;0.19762731;374.08038;16.67863;2
unnamed_10_33;7;0.6147406;0.15142017;0.11236846;0.17149601;384.05138;3.5497749;2
unnamed_10_34;7;0.72931986;0.12010065;0.11331712;0.13335008;361.51315;46.137824;2
unnamed_10_35;8;0.70971724;0.10908961;0.11403272;0.11055763;368.93719;18.175224;2
unnamed_10_36;7;0.65364142;0.19844918;0.11775189;0.22424725;378.51161;13.822541;2
unnamed_10_37;8;0.5670606;0.26005482;0.13755786;0.18021974;407.8706;0.003820832;2
unnamed_10_38;8;0.53974424;0.28934708;0.1;0.1619964;413.68629;3.92E-07;2
unnamed_10_39;8;0.75670398;0.1209642;0.11339711;0.1381404;363.18705;40.088587;2
unnamed_10_40;7;0.70700486;0.12374048;0.11257307;0.15306291;365.04871;34.053229;2
unnamed_10_41;8;0.72109991;0.21299316;0.1;0.1;368.26877;23.740857;2
unnamed_10_42;8;0.5515651;0.10087566;0.10406089;0.27894936;414.91138;1.29E-08;2
unnamed_10_43;7;0.69484567;0.11972937;0.11263019;0.14601956;366.47542;27.711167;2
unnamed_10_44;6;0.60776553;0.18602163;0.1;0.18061925;378.98715;9.6253618;2
unnamed_10_45;8;0.76302685;0.17708558;0.1133019;0.1;362.55647;43.558962;2
unnamed_10_46;7;0.69922371;0.1;0.11692411;0.13000927;365.19398;29.404237;2
unnamed_10_47;7;0.53702429;0.34233777;0.1;0.18823117;406.51169;0.011592708;2
unnamed_10_48;7;0.6337711;0.1472116;0.11124233;0.19062132;380.09624;7.3901234;2
unnamed_10_49;7;0.63179571;0.11012127;0.14720962;0.17670001;381.54413;6.5485916;2
unnamed_10_50;8;0.65445006;0.15328738;0.11295862;0.1824089;383.07567;4.9892249;2
